district_name,state_name,hypertension_pct,diabetes_pct,obesity_pct,tobacco_use_pct,anaemia_pct
Morbi,Gujarat,16.75,18.25,24.6,31.0,50.7
Morena,MadhyaPradesh,17.0,14.25,20.2,22.1,67.5
Morigaon,Assam,20.3,12.25,14.2,43.4,64.2
Muktsar,Punjab,28.2,13.05,30.8,10.6,61.0
MumbaiCity,Maharashtra,22.15,17.85,25.0,12.8,45.9
MumbaiSuburban,Maharashtra,27.3,20.35,40.4,12.95,50.0
Mungeli,Chhattisgarh,27.7,11.65,17.5,25.65,54.5
Munger,Bihar,17.2,20.65,20.9,21.7,71.4
Murshidabad,WestBengal,17.5,18.95,25.2,24.4,77.6
Muzaffarnagar,UttarPradesh,22.9,12.9,28.1,17.7,46.0
Muzaffarpur,Bihar,21.05,14.4,16.5,29.35,58.9
Mysore,Karnataka,26.45,13.9,36.4,14.7,48.0
Nabarangapur,Odisha,21.7,8.7,8.1,47.8,69.3
Nadia,WestBengal,18.6,20.6,28.6,27.25,73.4
Nagaon,Assam,16.7,18.65,13.2,33.6,61.0
Nagapattinam,TamilNadu,28.3,19.65,31.9,17.65,62.6
Nagarkurnool,Telangana,25.95,13.5,22.8,18.5,54.0
Nagaur,Rajasthan,16.55,7.4,13.0,24.95,45.3
Nagpur,Maharashtra,19.8,11.75,13.4,22.6,53.6
Nainital,Uttarakhand,27.2,13.05,33.3,20.0,34.5
Nalanda,Bihar,13.7,12.35,16.0,26.3,71.0
Nalbari,Assam,23.7,19.15,21.8,26.85,66.4
Nalgonda,Telangana,22.65,15.4,28.5,14.15,54.3
Namakkal,TamilNadu,28.55,21.85,43.2,13.2,51.9
Namsai,ArunachalPradesh,27.6,10.6,18.0,47.05,58.6
Nanded,Maharashtra,17.0,10.6,19.2,21.2,57.3
Nandurbar,Maharashtra,24.05,10.45,12.9,34.65,64.2
Narayanpur,Chhattisgarh,19.95,7.9,5.7,42.0,72.0
Narmada,Gujarat,20.0,11.95,11.1,31.7,75.9
Narsimhapur,MadhyaPradesh,23.8,11.7,20.1,41.2,46.9
Nashik,Maharashtra,24.3,11.15,21.7,25.2,56.2
Navsari,Gujarat,22.9,16.05,18.7,19.1,68.7
Nawada,Bihar,16.5,10.55,15.7,25.4,70.4
Nayagarh,Odisha,20.4,22.35,30.3,35.6,62.5
Neemuch,MadhyaPradesh,27.25,9.9,20.1,17.05,50.3
NewDelhi,NCTofDelhi,29.8,12.35,41.8,15.7,56.0
Nicobar,AndamanandNicobar,41.2,14.25,39.1,70.15,38.3
Nirmal,Telangana,26.8,13.75,22.5,21.0,57.7
Nizamabad,Telangana,29.15,14.55,27.5,14.6,57.0
North,NCTofDelhi,32.1,13.7,43.3,13.6,45.9
North&MiddleAndaman,AndamanandNicobar,29.8,17.5,35.9,58.65,62.1
NorthDistrict,Sikkim,43.35,13.8,44.1,22.65,36.7
NorthEast,NCTofDelhi,27.0,14.55,43.2,12.7,51.4
NorthGaroHills,Meghalaya,22.7,15.45,11.1,28.95,58.4
NorthGoa,Goa,27.8,22.75,37.2,10.95,40.0
NorthTripura,Tripura,19.05,20.6,16.8,58.25,69.3
NorthTwentyFourParganas,WestBengal,18.05,21.0,26.4,28.4,65.3
NorthWest,NCTofDelhi,27.1,12.25,41.8,16.55,47.2
Nuapada,Odisha,22.5,11.4,11.9,36.15,64.0
Osmanabad,Maharashtra,24.85,10.35,25.1,26.1,49.1
Pakur,Jharkhand,18.65,16.5,8.0,28.3,79.7
Palakkad,Kerala,33.85,25.45,32.9,13.8,49.6
Palamu,Jharkhand,21.3,11.25,10.8,27.45,61.0
Palghar,Maharashtra,22.9,12.55,17.0,17.25,56.9
Pali,Rajasthan,14.75,11.65,8.1,22.35,58.8
Palwal,Haryana,22.55,9.85,27.4,18.95,57.2
Panchkula,Haryana,25.25,17.75,39.9,10.2,57.1
Panchmahal,Gujarat,25.05,14.5,16.1,25.0,69.8
Panipat,Haryana,23.6,13.0,37.8,15.95,66.9
Panna,MadhyaPradesh,15.25,10.55,15.7,34.55,59.0
PapumPare,ArunachalPradesh,26.65,11.15,31.1,29.9,38.4
Parbhani,Maharashtra,21.3,12.5,23.7,22.35,58.8
PaschimBarddhaman,WestBengal,19.15,19.8,20.4,26.0,65.8
PaschimMedinipur,WestBengal,19.15,19.8,19.1,34.65,81.5
PashchimChamparan,Bihar,20.35,11.35,20.6,27.0,50.6
PashchimiSinghbhum,Jharkhand,18.65,9.3,7.1,38.15,72.6
Patan,Gujarat,16.3,18.45,18.3,22.9,59.8
Pathanamthitta,Kerala,42.0,33.4,43.8,11.9,36.4
Pathankot,Punjab,32.75,12.6,40.0,8.1,55.0
Patiala,Punjab,31.5,16.65,42.9,5.75,65.3
Patna,Bihar,15.45,18.5,21.5,21.0,67.1
PauriGarhwal,Uttarakhand,28.2,11.35,21.0,24.65,40.3
Peddapalli,Telangana,31.2,15.25,26.1,13.1,64.6
Perambalur,TamilNadu,22.95,22.1,32.9,12.9,66.1
Peren,Nagaland,23.75,11.3,16.4,31.3,29.7
Phek,Nagaland,29.85,11.2,14.1,27.7,30.0
Pilibhit,UttarPradesh,18.5,12.05,21.4,21.55,52.0
Pithoragarh,Uttarakhand,28.1,8.55,21.8,21.4,25.5
Porbandar,Gujarat,16.0,17.95,27.8,38.2,47.6
Prakasam,AndhraPradesh,30.4,26.7,39.5,15.2,60.4
Pratapgarh,Rajasthan,17.6,7.65,5.9,20.25,53.1
Pratapgarh,UttarPradesh,19.95,16.6,25.0,26.65,48.9
Prayagraj,UttarPradesh,15.15,14.55,25.5,28.25,46.4
Puducherry,Puducherry,26.9,20.05,48.5,8.05,56.8
Pudukkottai,TamilNadu,26.6,20.75,32.0,17.95,62.5
Pulwama,JammuandKashmir,20.85,6.0,37.9,22.25,73.2
Punch,JammuandKashmir,17.1,7.4,16.2,20.55,54.1
Pune,Maharashtra,24.1,13.7,31.0,19.8,51.9
PurbaBarddhaman,WestBengal,19.8,19.2,23.9,30.0,77.9
PurbaChamparan,Bihar,19.9,13.6,16.3,31.4,57.3
PurbaMedinipur,WestBengal,19.7,22.65,27.4,26.5,70.4
PurbiSinghbhum,Jharkhand,21.1,14.1,18.6,23.7,64.4
Puri,Odisha,22.05,21.9,40.4,39.05,63.3
Purnia,Bihar,20.6,18.95,14.4,26.75,66.0
Puruliya,WestBengal,18.95,18.0,9.6,38.95,76.7
RaeBareli,UttarPradesh,18.65,7.85,18.7,31.1,48.2
Raichur,Karnataka,17.6,9.05,19.9,20.95,60.4
Raigarh,Chhattisgarh,29.0,10.75,14.9,31.35,62.2
Raigarh,Maharashtra,12.4,12.5,23.1,24.0,54.2
Raipur,Chhattisgarh,19.15,9.15,15.7,24.2,59.1
Raisen,MadhyaPradesh,20.1,9.6,23.5,30.9,56.9
RajannaSircilla,Telangana,33.1,16.75,23.8,13.95,56.0
Rajgarh,MadhyaPradesh,24.2,8.0,14.1,28.15,52.3
Rajkot,Gujarat,16.15,16.0,28.0,30.3,60.5
Rajnandgaon,Chhattisgarh,28.0,9.25,12.8,33.15,58.3
Rajouri,JammuandKashmir,15.15,8.2,22.7,24.0,60.6
Rajsamand,Rajasthan,15.25,7.35,8.3,24.7,58.4
Ramanagara,Karnataka,29.05,18.9,36.5,14.75,45.5
Ramanathapuram,TamilNadu,25.75,18.7,34.1,11.95,53.6
Ramban,JammuandKashmir,16.6,6.5,15.8,19.6,59.7
Ramgarh,Jharkhand,24.25,10.4,14.1,28.55,62.3
Rampur,UttarPradesh,19.35,13.4,20.6,20.5,55.4
Ranchi,Jharkhand,21.35,10.85,14.9,27.05,58.9
RangaReddy,Telangana,31.75,17.45,40.6,11.7,53.2
Ratlam,MadhyaPradesh,22.65,8.8,17.0,18.9,59.5
Ratnagiri,Maharashtra,33.15,16.7,17.7,24.85,43.4
Rayagada,Odisha,22.3,14.4,14.8,38.05,69.1
Reasi,JammuandKashmir,16.5,7.1,22.7,22.85,62.9
Rewa,MadhyaPradesh,18.85,13.4,18.2,31.45,61.7
Rewari,Haryana,25.3,9.55,28.3,18.95,61.8
Ribhoi,Meghalaya,14.75,8.05,12.2,47.25,62.4
Rohtak,Haryana,22.6,14.55,35.9,16.65,65.3
Rohtas,Bihar,15.6,11.9,19.8,20.8,64.9
Rudraprayag,Uttarakhand,25.2,13.35,25.3,21.5,40.6
Rupnagar,Punjab,29.55,20.1,45.3,6.0,64.5
Sabarkantha,Gujarat,25.05,15.15,15.5,22.3,67.3
Sagar,MadhyaPradesh,25.85,8.8,20.2,31.1,49.8
Saharanpur,UttarPradesh,23.65,10.2,16.4,16.55,41.4
Saharsa,Bihar,15.2,14.1,12.8,32.8,65.3
Sahibganj,Jharkhand,16.1,14.12,10.35,26.43,70.85
SahibzadaAjitSinghNagar,Punjab,30.85,17.6,48.9,6.4,59.5
Saiha,Mizoram,17.95,9.4,18.9,71.85,44.2
Salem,TamilNadu,30.3,20.35,40.3,15.0,46.3
Samastipur,Bihar,16.1,15.1,15.2,27.6,60.5
Samba,JammuandKashmir,21.3,10.75,36.5,20.95,62.4
Sambalpur,Odisha,23.35,14.15,21.4,36.6,66.7
Sambhal,UttarPradesh,21.0,7.95,19.6,22.6,51.3
Sangareddy,Telangana,29.15,13.8,29.4,16.35,48.3
Sangli,Maharashtra,31.05,16.6,27.8,21.45,47.5
Sangrur,Punjab,37.35,11.9,37.6,6.65,52.6
SantKabirNagar,UttarPradesh,25.35,9.45,15.9,30.9,43.5
SantRavidasNagar(bhadohi),UttarPradesh,18.95,10.95,26.5,21.95,43.8
Saran,Bihar,18.0,17.3,19.1,24.1,62.8
Satara,Maharashtra,28.5,12.45,26.6,35.05,49.6
Satna,MadhyaPradesh,16.25,12.75,20.4,31.1,57.3
SawaiMadhopur,Rajasthan,17.6,6.85,11.1,30.5,57.5
Sehore,MadhyaPradesh,26.3,9.1,20.6,28.4,45.3
Senapati,Manipur,23.45,10.35,24.9,54.9,27.4
Seoni,MadhyaPradesh,23.4,14.15,15.7,43.9,59.9
Sepahijala,Tripura,19.6,20.2,24.2,49.0,69.4
Serchhip,Mizoram,14.65,14.0,24.0,68.45,32.1
Shahdara,NCTofDelhi,30.55,12.4,42.8,13.2,49.2
Shahdol,MadhyaPradesh,21.5,14.05,14.5,27.5,56.4
ShahidBhagatSinghNagar,Punjab,37.75,15.45,41.8,5.55,49.8
Shahjahanpur,UttarPradesh,15.3,7.9,17.2,27.8,60.3
Shajapur,MadhyaPradesh,24.7,7.25,16.0,25.95,45.8
Shamli,UttarPradesh,24.9,10.6,22.6,17.15,41.7
Sheikhpura,Bihar,16.2,10.5,13.3,23.55,69.5
Sheohar,Bihar,18.15,10.7,7.6,30.55,61.6
Sheopur,MadhyaPradesh,22.45,9.85,11.2,33.65,64.9
Shimla,HimachalPradesh,21.7,12.25,28.4,16.6,46.5
Shimoga,Karnataka,27.95,16.0,30.3,21.65,41.9
Shivpuri,MadhyaPradesh,14.7,12.55,16.4,25.45,51.1
Shrawasti,UttarPradesh,18.55,8.9,13.7,44.2,44.4
Shupiyan,JammuandKashmir,14.65,5.25,27.6,26.0,63.9
Siang,ArunachalPradesh,27.95,8.7,15.8,37.55,23.9
Siddharthnagar,UttarPradesh,21.3,10.6,12.9,34.75,51.2
Siddipet,Telangana,31.75,17.35,26.8,14.2,56.7
Sidhi,MadhyaPradesh,21.75,11.25,14.6,30.95,55.7
Sikar,Rajasthan,20.7,7.55,19.6,21.05,44.0
Simdega,Jharkhand,23.8,8.65,7.9,37.05,70.6
Sindhudurg,Maharashtra,37.25,22.0,20.8,19.15,41.2
Singrauli,MadhyaPradesh,22.4,12.15,11.9,25.9,54.1
Sirmaur,HimachalPradesh,19.95,10.0,23.2,15.7,50.1
Sirohi,Rajasthan,16.45,6.85,7.9,24.3,64.0
Sirsa,Haryana,23.35,19.5,29.3,11.4,61.9
Sitamarhi,Bihar,17.85,13.45,13.9,30.9,61.7
Sitapur,UttarPradesh,20.4,8.8,15.4,36.75,55.3
Sivaganga,TamilNadu,24.0,24.45,33.4,9.95,51.5
Sivasagar,Assam,24.0,16.25,21.5,41.95,67.6
Siwan,Bihar,24.6,12.35,23.3,24.35,53.1
Solan,HimachalPradesh,22.0,12.1,29.7,15.95,47.5
Solapur,Maharashtra,25.95,11.65,28.2,24.7,54.5
Sonbhadra,UttarPradesh,20.2,9.6,15.3,29.95,44.5
Sonipat,Haryana,20.95,12.75,39.3,16.8,53.3
Sonitpur,Assam,24.65,10.3,13.1,41.2,63.6
South,NCTofDelhi,25.75,10.1,33.0,11.2,47.9
SouthAndaman,AndamanandNicobar,24.95,18.25,39.0,35.2,57.7
SouthDistrict,Sikkim,45.3,15.05,34.8,31.6,39.8
SouthEast,NCTofDelhi,23.0,14.8,42.9,14.6,56.4
SouthGaroHills,Meghalaya,19.3,18.25,6.9,30.2,56.2
SouthGoa,Goa,26.35,22.15,34.6,9.7,37.6
SouthSalmaraMancachar,Assam,16.0,10.35,8.5,37.6,57.1
SouthTripura,Tripura,23.3,19.3,22.8,52.65,66.5
SouthTwentyFourParganas,WestBengal,20.3,18.9,21.2,28.05,61.6
SouthWest,NCTofDelhi,26.35,14.0,40.0,16.0,46.2
SouthWestGaroHills,Meghalaya,16.8,14.8,9.0,31.75,62.5
SouthWestKhasiHills,Meghalaya,18.75,6.6,8.9,56.85,58.9
SriPottiSriramuluNellore,AndhraPradesh,24.05,21.45,39.5,15.45,59.4
Srikakulam,AndhraPradesh,22.5,17.5,27.2,14.2,62.6
Srinagar,JammuandKashmir,19.1,6.55,27.8,19.2,51.7
Subarnapur,Odisha,21.45,12.9,21.7,28.65,58.8
Sukma,Chhattisgarh,16.3,6.25,3.8,53.1,78.4
Sultanpur,UttarPradesh,22.45,15.1,22.9,30.85,50.2
Sundargarh,Odisha,23.2,13.0,19.6,37.05,69.8
Supaul,Bihar,12.85,14.15,9.4,32.2,60.7
Surajpur,Chhattisgarh,27.95,10.7,14.7,34.05,60.7
Surat,Gujarat,23.0,15.35,25.1,20.1,69.0
Surendranagar,Gujarat,15.9,17.85,20.7,26.1,55.6
Surguja,Chhattisgarh,33.0,10.75,15.3,36.65,58.3
Suryapet,Telangana,26.25,20.8,33.9,11.9,57.5
Tamenglong,Manipur,25.45,12.2,24.4,34.7,27.3
Tapi,Gujarat,26.6,17.0,12.6,23.2,77.4
TarnTaran,Punjab,33.6,11.25,39.0,3.45,61.7
Tawang,ArunachalPradesh,33.35,6.5,35.4,14.55,59.1
TehriGarhwal,Uttarakhand,27.0,10.4,20.9,22.45,42.2
Thane,Maharashtra,27.1,14.8,30.7,15.55,58.8
Thanjavur,TamilNadu,31.7,26.15,42.8,15.0,59.0
TheDangs,Gujarat,23.5,7.95,8.1,31.65,77.2
TheNilgiris,TamilNadu,33.55,14.3,39.5,14.15,44.2
Theni,TamilNadu,32.15,23.0,45.2,12.8,41.2
Thiruvallur,TamilNadu,29.4,22.95,48.6,10.0,56.8
Thiruvananthapuram,Kerala,31.75,31.15,50.6,7.9,33.0
Thiruvarur,TamilNadu,27.4,26.2,37.2,17.9,58.2
Thoothukkudi,TamilNadu,26.35,23.7,43.4,9.95,55.9
Thoubal,Manipur,28.3,11.75,31.3,53.2,24.2
Thrissur,Kerala,34.1,30.0,42.8,10.05,44.4
Tikamgarh,MadhyaPradesh,13.65,13.55,10.4,29.75,49.1
Tinsukia,Assam,18.2,16.7,16.9,37.1,72.8
Tirap,ArunachalPradesh,28.4,9.65,28.3,28.75,32.0
Tiruchirappalli,TamilNadu,25.15,24.6,33.5,11.65,62.4
Tirunelveli,TamilNadu,23.8,21.65,40.2,8.5,51.0
Tiruppur,TamilNadu,27.85,18.45,45.0,14.25,55.2
Tiruvannamalai,TamilNadu,22.5,20.3,37.8,11.0,56.6
Tonk,Rajasthan,18.4,6.15,10.0,28.1,52.8
Tuensang,Nagaland,22.35,8.45,10.8,32.55,28.8
Tumkur,Karnataka,30.7,17.65,30.4,18.25,49.3
Udaipur,Rajasthan,15.45,9.65,9.1,23.5,60.5
Udalguri,Assam,21.15,15.05,14.0,31.5,81.5
UdhamSinghNagar,Uttarakhand,26.2,16.1,35.4,18.5,51.0
Udhampur,JammuandKashmir,19.2,9.35,29.3,24.95,56.5
Udupi,Karnataka,31.85,17.2,22.9,12.2,47.3
Ujjain,MadhyaPradesh,24.15,9.5,15.2,21.4,54.5
Ukhrul,Manipur,23.65,9.8,14.5,51.0,21.9
Umaria,MadhyaPradesh,21.5,11.25,14.6,36.5,51.5
Una,HimachalPradesh,27.15,20.25,41.2,15.9,60.8
Unakoti,Tripura,21.55,18.4,16.6,57.3,67.9
Unnao,UttarPradesh,21.7,9.45,20.6,30.2,48.9
UpperSiang,ArunachalPradesh,28.9,8.9,27.3,40.25,29.2
UpperSubansiri,ArunachalPradesh,31.45,8.6,25.0,37.55,36.7
UttarBastarKanker,Chhattisgarh,28.6,8.1,6.8,27.95,65.2
UttarDinajpur,WestBengal,20.05,16.2,14.6,29.65,72.4
UttaraKannada,Karnataka,26.0,13.25,22.6,18.3,44.6
Uttarkashi,Uttarakhand,21.7,9.55,21.5,18.8,60.9
Vadodara,Gujarat,24.05,15.85,27.6,17.95,72.3
Vaishali,Bihar,18.5,15.35,16.9,25.1,63.1
Valsad,Gujarat,26.55,15.4,21.3,18.8,75.7
Varanasi,UttarPradesh,23.05,10.95,22.6,21.95,37.6
Vellore,TamilNadu,25.75,20.9,45.4,9.35,50.6
Vidisha,MadhyaPradesh,17.65,13.15,19.8,31.4,38.5
Vikarabad,Telangana,28.65,12.55,25.7,20.4,61.0
Viluppuram,TamilNadu,22.55,18.8,37.0,16.95,62.5
Virudhunagar,TamilNadu,21.55,20.4,37.4,10.3,56.9
Visakhapatnam,AndhraPradesh,26.55,17.6,23.8,14.55,58.0
Vizianagaram,AndhraPradesh,25.15,14.4,28.8,16.45,64.0
Wanaparthy,Telangana,24.0,15.2,23.5,18.2,58.7
WarangalRural,Telangana,27.85,16.85,26.4,13.0,59.3
WarangalUrban,Telangana,28.6,18.05,32.0,7.75,57.9
Wardha,Maharashtra,15.55,9.7,19.6,31.05,60.0
Washim,Maharashtra,21.45,8.6,14.2,26.7,56.4
Wayanad,Kerala,28.55,18.1,26.7,18.3,26.9
West,NCTofDelhi,28.95,13.65,40.6,15.25,57.2
WestDistrict,Sikkim,38.9,10.5,24.5,26.9,42.7
WestGaroHills,Meghalaya,21.05,18.35,7.2,37.95,55.3
WestGodavari,AndhraPradesh,30.1,21.35,45.3,12.0,63.0
WestJaintiaHills,Meghalaya,16.75,8.3,15.4,54.75,55.9
WestKameng,ArunachalPradesh,25.25,7.35,25.7,26.3,37.4
WestKarbiAnglong,Assam,19.6,10.65,9.4,39.2,57.9
WestKhasiHills,Meghalaya,16.2,6.6,8.7,61.75,51.8
WestSiang,ArunachalPradesh,36.9,10.15,27.4,30.6,30.5
WestTripura,Tripura,26.1,18.4,26.8,51.45,67.3
Wokha,Nagaland,30.0,15.5,18.3,31.65,30.9
Y.s.r.,AndhraPradesh,25.25,20.35,33.9,10.55,56.1
YadadriBhuvanagiri,Telangana,28.55,16.3,24.6,13.9,53.8
Yadgir,Karnataka,17.75,10.4,18.8,23.2,57.3
Yamunanagar,Haryana,28.75,14.75,38.0,13.5,56.6
Yanam,Puducherry,32.75,23.35,51.6,5.55,43.1
Yavatmal,Maharashtra,17.7,10.65,10.5,29.45,58.4
Zunheboto,Nagaland,37.2,10.5,8.9,28.45,31.1
